"Star2","Mean(Avg_mode_power)"
1,310.55
1.5,306.20769230769235
2,261.9457894736842
2.5,221.8354871794872
3,195.84857971014495
3.5,152.64115328467153
4,129.52926666666664
4.5,110.58950202429153
5,103.19053421487602
5.5,96.61468965346532
6,80.3194713207546
7,74.44288524590162
8,39.70333333333334
